,year,price,mileage,engine_size,Automatic,Manual,Other_Transmission,Semi-Auto,Diesel,Hybrid,Other_Fuel,Petrol
133,2014,15498,23772.0,2.1,0,0,0,1,1,0,0,0
134,2017,18998,28808.0,2.1,0,0,0,1,1,0,0,0
135,2019,24495,10000.0,2.0,0,0,0,1,1,0,0,0
136,2016,18990,26413.0,2.1,0,0,0,1,1,0,0,0
137,2014,10995,98000.0,2.1,0,1,0,0,1,0,0,0
138,2014,15698,39920.0,2.1,0,0,0,1,1,0,0,0
139,2019,22498,10455.0,1.5,0,0,0,1,0,0,0,1
140,2016,19298,27644.0,2.1,0,0,0,1,1,0,0,0
141,2017,16498,63916.0,2.0,0,0,0,1,0,1,0,0
142,2018,19998,15383.0,1.5,0,0,0,1,0,0,0,1
143,2018,20685,21929.0,2.1,0,0,0,1,1,0,0,0
144,2018,20489,16900.0,2.1,0,0,0,1,1,0,0,0
145,2017,13800,34015.0,2.1,0,1,0,0,1,0,0,0
146,2019,31998,2000.0,2.0,0,0,0,1,0,0,0,1
147,2019,29998,28000.0,2.0,0,0,0,1,0,0,0,1
148,2019,24998,22400.0,1.5,0,0,0,1,0,0,0,1
149,2019,32998,2878.0,2.0,0,0,0,1,0,0,0,1
150,2019,32998,4500.0,2.0,0,0,0,1,0,0,0,1
151,2019,29998,836.0,2.0,0,0,0,1,0,0,0,1
152,2017,23998,14462.0,2.1,0,0,0,1,1,0,0,0
153,2016,20998,23429.0,2.0,0,0,0,1,0,1,0,0
154,2017,16498,20764.0,2.1,1,0,0,0,1,0,0,0
155,2013,11998,31706.0,2.1,0,0,0,1,1,0,0,0
156,2015,12495,55000.0,2.1,1,0,0,0,1,0,0,0
157,2019,19298,10059.0,1.5,1,0,0,0,0,0,0,1
158,2019,23998,10357.0,2.0,0,0,0,1,1,0,0,0
159,2015,12495,50374.0,2.1,0,0,0,1,1,0,0,0
160,2015,17498,42471.0,2.1,0,0,0,1,0,1,0,0
161,2016,16198,41974.0,2.1,0,1,0,0,1,0,0,0
162,2017,18498,20618.0,2.1,0,0,0,1,1,0,0,0
163,2019,24998,15536.0,1.5,0,0,0,1,0,0,0,1
164,2019,24998,16103.0,1.5,0,0,0,1,0,0,0,1
165,2019,21998,14576.0,1.5,0,0,0,1,0,0,0,1
166,2018,29498,6198.0,2.0,0,0,0,1,1,0,0,0
167,2018,29498,6265.0,2.0,0,0,0,1,1,0,0,0
168,2016,16998,21786.0,2.1,0,0,0,1,1,0,0,0
169,2019,33998,1558.0,1.5,0,0,0,1,0,0,0,1
170,2019,32998,2258.0,1.5,0,0,0,1,0,0,0,1
171,2017,18998,26866.0,2.1,0,0,0,1,1,0,0,0
172,2019,32498,1887.0,1.5,0,0,0,1,0,0,0,1
173,2017,25798,9676.0,2.1,0,0,0,1,1,0,0,0
174,2018,20498,7894.0,2.1,0,0,0,1,1,0,0,0
175,2017,18498,26179.0,2.1,0,0,0,1,1,0,0,0
176,2016,14498,21945.0,2.0,0,1,0,0,0,0,0,1
177,2019,29498,2195.0,2.0,0,0,0,1,1,0,0,0
178,2017,17998,16291.0,2.0,0,0,0,1,0,0,0,1
179,2015,13498,38438.0,2.1,0,1,0,0,1,0,0,0
180,2016,19698,25107.0,2.0,1,0,0,0,0,1,0,0
181,2017,22498,20491.0,2.1,0,0,0,1,0,1,0,0
182,2015,11998,52792.0,1.6,0,1,0,0,1,0,0,0
183,2013,11998,30035.0,1.6,0,0,0,1,0,0,0,1
184,2020,39998,3620.0,2.0,0,0,0,1,0,1,0,0
185,2019,23498,19204.0,2.0,0,0,0,1,1,0,0,0
186,2019,57998,10.0,4.0,0,0,0,1,0,0,0,1
187,2015,16315,46155.0,2.1,0,0,0,1,1,0,0,0
188,2016,13991,49494.0,2.1,0,0,0,1,1,0,0,0
189,2016,16998,43014.0,2.1,0,0,0,1,1,0,0,0
190,2017,16498,29283.0,2.1,0,0,0,1,1,0,0,0
191,2016,16998,38830.0,2.1,0,0,0,1,1,0,0,0
192,2016,13690,49761.0,2.1,0,1,0,0,1,0,0,0
193,2014,14490,31801.0,2.1,0,0,0,1,1,0,0,0
194,2017,17998,22349.0,2.0,0,0,0,1,0,0,0,1
195,2019,29998,8520.0,2.0,0,0,0,1,1,0,0,0
196,2017,18998,27493.0,2.1,0,0,0,1,0,1,0,0
197,2018,18998,15075.0,2.0,0,0,0,1,0,0,0,1
198,2019,28998,5116.0,2.0,0,0,0,1,1,0,0,0
199,2019,24998,15009.0,1.5,0,0,0,1,0,0,0,1
200,2018,27998,6787.0,2.0,0,0,0,1,1,0,0,0
201,2015,16798,32409.0,2.1,0,0,0,1,1,0,0,0
202,2017,19998,23690.0,2.1,0,0,0,1,1,0,0,0
203,2020,29950,101.0,2.0,0,0,0,1,1,0,0,0
204,2017,20790,22485.0,2.1,0,0,0,1,0,1,0,0
205,2013,9490,41921.0,1.6,0,0,0,1,0,0,0,1
206,2017,15690,35488.0,2.1,0,0,0,1,1,0,0,0
207,2017,14990,41647.0,2.1,0,1,0,0,1,0,0,0
208,2015,17290,24923.0,2.1,0,0,0,1,1,0,0,0
209,2018,19490,11810.0,2.1,0,0,0,1,1,0,0,0
210,2019,28990,2000.0,2.0,0,0,0,1,1,0,0,0
211,2017,24990,6668.0,2.1,1,0,0,0,1,0,0,0
212,2014,28990,19562.0,6.2,0,0,0,1,0,0,0,1
213,2016,16298,29201.0,1.6,0,0,0,1,1,0,0,0
214,2016,14698,19864.0,2.1,0,1,0,0,1,0,0,0
215,2016,13998,22117.0,2.0,0,1,0,0,0,0,0,1
216,2015,14698,43331.0,2.1,0,0,0,1,1,0,0,0
217,2014,10498,51929.0,2.1,0,0,0,1,1,0,0,0
218,2015,11998,42245.0,2.1,0,0,0,1,1,0,0,0
219,2016,15698,42062.0,2.0,1,0,0,0,0,0,0,1
220,2015,16998,43883.0,2.1,0,0,0,1,1,0,0,0
221,2016,17998,36587.0,2.0,0,0,0,1,0,1,0,0
222,2017,20998,42036.0,2.1,0,0,0,1,1,0,0,0
223,2016,13691,36538.0,1.6,0,0,0,1,1,0,0,0
224,2014,13491,56000.0,2.1,0,1,0,0,1,0,0,0
225,2017,21998,11986.0,2.0,0,0,0,1,0,0,0,1
226,2015,14500,38783.0,2.1,0,0,0,1,1,0,0,0
227,2017,15990,38051.0,2.1,0,0,0,1,1,0,0,0
228,2016,20490,10542.0,2.0,0,0,0,1,0,0,0,1
229,2018,20890,3033.0,1.5,0,0,0,1,0,0,0,1
230,2014,14490,59884.0,2.1,0,0,0,1,1,0,0,0
231,2018,21990,1871.0,1.5,0,0,0,1,0,0,0,1
232,2015,14750,32594.0,2.1,0,0,0,1,1,0,0,0
233,2019,44990,1474.0,3.0,1,0,0,0,0,0,0,1
234,2019,24690,15210.0,1.5,0,0,0,1,0,0,0,1
235,2017,18270,49783.0,2.1,0,0,0,1,1,0,0,0
236,2018,26625,7175.0,2.0,1,0,0,0,1,0,0,0
237,2015,13361,35034.0,2.0,0,0,0,1,0,0,0,1
238,2017,17490,35576.0,2.1,0,0,0,1,1,0,0,0
239,2019,26427,13888.0,2.0,1,0,0,0,1,0,0,0
240,2019,29290,4703.0,2.0,0,0,0,1,1,0,0,0
241,2017,23047,8143.0,2.1,0,0,0,1,1,0,0,0
242,2015,13621,57066.0,1.6,0,0,0,1,1,0,0,0
243,2017,18200,25296.0,2.1,0,0,0,1,1,0,0,0
244,2017,16991,29907.0,2.1,0,0,0,1,1,0,0,0
245,2018,23498,5659.0,2.0,0,0,0,1,0,0,0,1
246,2015,14698,23063.0,2.1,0,0,0,1,1,0,0,0
247,2013,9798,60948.0,2.1,0,0,0,1,1,0,0,0
248,2016,17998,32769.0,2.1,1,0,0,0,1,0,0,0
249,2017,18998,20949.0,2.1,1,0,0,0,1,0,0,0
250,2016,20700,27890.0,2.1,0,0,0,1,1,0,0,0
251,2015,16990,11954.0,2.1,0,0,0,1,1,0,0,0
252,2014,11791,42879.0,2.1,0,0,0,1,1,0,0,0
253,2015,18191,11470.0,1.6,0,0,0,1,1,0,0,0
254,2016,20991,26205.0,2.1,0,0,0,1,1,0,0,0
255,2017,13321,61305.0,1.6,0,0,0,1,1,0,0,0
256,2016,21998,10561.0,2.1,0,0,0,1,1,0,0,0
257,2017,15998,72939.0,2.0,0,0,0,1,0,1,0,0
258,2015,13498,31125.0,2.1,0,1,0,0,1,0,0,0
259,2017,20871,37194.0,2.1,0,0,0,1,1,0,0,0
260,2018,25891,2240.0,2.0,0,0,0,1,0,0,0,1
261,2017,20591,21023.0,2.1,0,0,0,1,1,0,0,0
262,2016,19991,35975.0,2.1,0,0,0,1,1,0,0,0
263,2015,15990,55226.0,2.1,0,0,0,1,1,0,0,0
264,2019,30055,3686.0,2.0,1,0,0,0,1,0,0,0
265,2017,21650,33943.0,2.0,1,0,0,0,0,0,0,1
266,2018,25990,9699.0,2.0,0,0,0,1,0,0,0,1
267,2017,17690,25059.0,2.1,0,0,0,1,1,0,0,0
268,2019,30950,101.0,2.0,1,0,0,0,1,0,0,0
269,2019,24950,7006.0,1.5,1,0,0,0,0,0,0,1
270,2015,14998,38671.0,2.1,0,0,0,1,1,0,0,0
271,2017,19798,19877.0,2.0,0,0,0,1,0,1,0,0
272,2019,24498,7937.0,1.5,0,0,0,1,0,0,0,1
273,2018,19991,20027.0,2.1,0,0,0,1,1,0,0,0
274,2017,21991,19953.0,2.1,0,0,0,1,1,0,0,0
275,2018,22591,18551.0,2.1,0,0,0,1,1,0,0,0
276,2019,18790,14288.0,2.1,0,0,0,1,1,0,0,0
277,2019,25950,10485.0,1.5,1,0,0,0,0,0,0,1
278,2020,29950,101.0,2.0,0,0,0,1,1,0,0,0
279,2017,14990,27424.0,2.1,0,0,0,1,1,0,0,0
280,2020,31950,2985.0,2.0,1,0,0,0,1,0,0,0
281,2016,20990,36051.0,2.1,0,0,0,1,1,0,0,0
282,2020,28990,3458.0,1.5,1,0,0,0,0,0,0,1
283,2019,27000,6406.0,2.0,0,0,0,1,1,0,0,0
284,2015,12590,65000.0,2.1,0,0,0,1,1,0,0,0
285,2018,20885,22773.0,2.1,0,0,0,1,1,0,0,0
286,2014,25885,37000.0,6.2,0,0,0,1,0,0,0,1
287,2016,14965,30487.0,2.1,0,0,0,1,1,0,0,0
288,2017,16595,29814.0,2.1,1,0,0,0,1,0,0,0
289,2018,17940,28050.0,2.1,0,0,0,1,1,0,0,0
290,2018,19940,18882.0,2.1,0,0,0,1,1,0,0,0
291,2016,16498,27034.0,1.6,0,0,0,1,1,0,0,0
292,2016,14500,40620.0,1.6,0,0,0,1,1,0,0,0
293,2019,27791,9057.0,2.0,0,0,0,1,1,0,0,0
294,2019,26499,7060.0,2.0,0,0,0,1,1,0,0,0
295,2019,31990,4615.0,2.0,0,0,0,1,1,0,0,0
296,2018,20999,9250.0,1.5,0,0,0,1,0,0,0,1
297,2019,31999,1052.0,2.0,0,0,0,1,1,0,0,0
298,2017,17495,25149.0,2.0,0,0,0,1,0,0,0,1
299,2019,25495,5947.0,1.6,0,0,0,1,0,0,0,1
300,2019,36995,2749.0,2.0,1,0,0,0,1,0,0,0
301,2019,30999,7144.0,2.0,0,0,0,1,1,0,0,0
302,2019,29999,4843.0,2.0,0,0,0,1,1,0,0,0
303,2016,17880,44641.0,2.1,1,0,0,0,1,0,0,0
304,2016,13660,26682.0,2.1,0,1,0,0,1,0,0,0
305,2016,23920,18865.0,2.1,1,0,0,0,1,0,0,0
306,2017,22960,21225.0,2.1,0,0,0,1,1,0,0,0
307,2017,16590,52519.0,1.6,0,0,0,1,1,0,0,0
308,2017,17990,42000.0,2.1,0,0,0,1,1,0,0,0
309,2019,22270,3233.0,1.6,1,0,0,0,0,0,0,1
310,2016,22680,28535.0,2.1,0,0,0,1,1,0,0,0
311,2017,22440,32629.0,2.1,0,0,0,1,1,0,0,0
312,2016,17820,30748.0,2.1,0,0,0,1,1,0,0,0
313,2016,19290,17600.0,2.1,0,0,0,1,1,0,0,0
314,2016,16390,31360.0,2.1,0,0,0,1,1,0,0,0
315,2016,14450,19598.0,2.0,0,0,0,1,0,0,0,1
316,2016,17250,28192.0,2.1,1,0,0,0,1,0,0,0
317,2016,19690,38087.0,2.1,0,0,0,1,1,0,0,0
318,2017,19250,23523.0,2.1,0,0,0,1,1,0,0,0
319,2019,21980,7716.0,1.5,1,0,0,0,0,0,0,1
320,2019,23990,1647.0,1.5,1,0,0,0,0,0,0,1
321,2019,21980,5572.0,1.5,0,0,0,1,0,0,0,1
322,2019,27990,101.0,2.0,1,0,0,0,1,0,0,0
323,2015,16998,66796.0,2.1,0,0,0,1,0,1,0,0
324,2016,19698,41056.0,2.1,0,0,0,1,1,0,0,0
325,2015,15498,32140.0,2.1,0,1,0,0,1,0,0,0
326,2020,67999,1500.0,4.0,0,0,0,1,0,0,0,1
327,2020,34999,1500.0,1.5,0,0,0,1,0,0,0,1
328,2016,21299,12249.0,2.0,0,0,0,1,0,0,0,1
329,2017,17999,37564.0,2.0,0,0,0,1,0,1,0,0
330,2019,19999,14360.0,1.5,0,0,0,1,0,0,0,1
331,2017,21999,10288.0,2.0,0,0,0,1,0,0,0,1
332,2016,17699,43236.0,2.1,0,0,0,1,1,0,0,0
333,2016,14580,33113.0,2.1,0,0,0,1,1,0,0,0
334,2017,23990,19784.0,2.0,0,0,0,1,0,0,0,1
335,2019,28660,1610.0,2.0,1,0,0,0,1,0,0,0
336,2017,19490,31326.0,2.1,0,0,0,1,1,0,0,0
337,2017,21770,32790.0,2.1,0,0,0,1,1,0,0,0
338,2019,25990,11728.0,2.0,0,0,0,1,1,0,0,0
339,2019,28660,6282.0,2.0,1,0,0,0,1,0,0,0
340,2017,22590,41131.0,2.1,0,0,0,1,1,0,0,0
341,2017,22770,14052.0,2.1,1,0,0,0,1,0,0,0
342,2015,16480,44929.0,2.1,1,0,0,0,1,0,0,0
343,2018,27698,10579.0,2.0,0,0,0,1,1,0,0,0
344,2017,16499,30536.0,2.0,0,0,0,1,0,0,0,1
345,2019,19895,10985.0,1.5,0,0,0,1,0,0,0,1
346,2019,27595,11480.0,2.0,0,0,0,1,1,0,0,0
347,2019,25795,12986.0,2.0,0,0,0,1,1,0,0,0
348,2019,24499,3984.0,1.5,0,0,0,1,0,0,0,1
349,2019,30495,8771.0,2.0,0,0,0,1,0,0,0,1
350,2019,29999,1683.0,2.0,0,0,0,1,1,0,0,0
351,2018,27495,16347.0,2.0,0,0,0,1,1,0,0,0
352,2019,21795,6959.0,1.6,0,1,0,0,0,0,0,1
353,2013,9881,50591.0,1.6,1,0,0,0,0,0,0,1
354,2015,13498,14480.0,2.0,0,1,0,0,0,0,0,1
355,2019,24450,10471.0,2.0,0,0,0,1,1,0,0,0
356,2015,17450,37000.0,2.1,0,0,0,1,1,0,0,0
357,2016,14450,34000.0,2.1,0,0,0,1,1,0,0,0
358,2017,24990,22369.0,2.1,0,0,0,1,1,0,0,0
359,2015,16440,29286.0,2.1,0,0,0,1,1,0,0,0
360,2014,9891,52500.0,2.1,0,0,0,1,1,0,0,0
361,2015,16998,26273.0,2.0,0,0,0,1,0,0,0,1
362,2015,16710,48123.0,2.1,0,0,0,1,1,0,0,0
363,2017,22495,19779.0,2.1,1,0,0,0,1,0,0,0
364,2017,21565,39447.0,2.0,1,0,0,0,0,0,0,1
365,2017,21697,28272.0,2.0,0,0,0,1,0,0,0,1
366,2016,20990,20972.0,2.1,0,0,0,1,1,0,0,0
367,2016,14770,21745.0,2.0,0,0,0,1,0,0,0,1
368,2015,13448,31878.0,2.1,0,0,0,1,1,0,0,0
369,2014,15998,34382.0,2.1,0,0,0,1,1,0,0,0
370,2018,27498,12170.0,2.0,0,0,0,1,1,0,0,0
371,2016,19498,24111.0,2.0,0,0,0,1,0,1,0,0
372,2017,22498,22888.0,2.1,0,0,0,1,1,0,0,0
373,2016,20105,14965.0,2.1,1,0,0,0,1,0,0,0
374,2016,14220,45868.0,2.1,0,0,0,1,1,0,0,0
375,2017,22260,27637.0,2.1,0,0,0,1,1,0,0,0
376,2014,16990,32475.0,2.1,0,0,0,1,1,0,0,0
377,2019,41880,151.0,3.0,1,0,0,0,0,0,0,1
378,2019,30990,151.0,2.0,1,0,0,0,1,0,0,0
379,2019,28880,7324.0,1.5,1,0,0,0,0,0,0,1
380,2019,28990,2501.0,2.0,1,0,0,0,1,0,0,0
381,2016,18700,33237.0,2.1,0,0,0,1,1,0,0,0
382,2017,17440,63019.0,2.1,0,0,0,1,1,0,0,0
383,2016,17770,27306.0,2.1,0,0,0,1,1,0,0,0
384,2017,18433,34278.0,2.1,0,0,0,1,1,0,0,0
385,2016,21440,26600.0,2.1,0,0,0,1,1,0,0,0
386,2017,22170,19155.0,2.1,0,0,0,1,1,0,0,0
387,2017,21115,31538.0,2.1,0,0,0,1,1,0,0,0
388,2019,21497,3539.0,1.6,0,0,0,1,1,0,0,0
389,2019,28400,1287.0,2.0,0,0,0,1,1,0,0,0
390,2016,22765,25178.0,2.1,1,0,0,0,1,0,0,0
391,2018,22880,23061.0,2.1,0,0,0,1,1,0,0,0
392,2019,22455,3761.0,1.5,1,0,0,0,0,0,0,1
393,2017,17330,22684.0,2.1,0,0,0,1,1,0,0,0
394,2017,18795,46294.0,2.1,1,0,0,0,1,0,0,0
395,2016,15220,39656.0,2.1,0,0,0,1,1,0,0,0
396,2017,21440,13096.0,2.1,0,0,0,1,1,0,0,0
397,2017,20200,21462.0,2.1,0,0,0,1,1,0,0,0
398,2018,19660,5232.0,1.6,0,0,0,1,1,0,0,0
399,2017,22990,15527.0,2.1,0,0,0,1,1,0,0,0
400,2018,22770,21200.0,2.1,0,0,0,1,1,0,0,0
401,2018,19775,45335.0,2.1,0,0,0,1,1,0,0,0
402,2017,24660,9873.0,2.1,0,0,0,1,1,0,0,0
403,2017,33495,22574.0,4.0,0,0,0,1,0,0,0,1
404,2019,26890,1705.0,1.6,0,0,0,1,0,0,0,1
405,2019,26885,2622.0,1.6,0,0,0,1,0,0,0,1
406,2019,34790,5298.0,2.0,0,0,0,1,1,0,0,0
407,2017,18495,22994.0,2.0,0,0,0,1,0,0,0,1
408,2016,15699,30301.0,2.1,0,0,0,1,1,0,0,0
409,2017,18499,28480.0,1.6,0,0,0,1,1,0,0,0
410,2018,24799,20087.0,2.0,0,0,0,1,0,0,0,1
411,2017,18995,11800.0,2.1,1,0,0,0,1,0,0,0
412,2014,15280,25901.0,2.1,0,0,0,1,1,0,0,0
413,2014,14795,20417.0,2.0,1,0,0,0,0,0,0,1
414,2018,19840,14467.0,2.1,1,0,0,0,1,0,0,0
415,2014,13791,53144.0,2.1,0,0,0,1,1,0,0,0
416,2017,24360,14346.0,2.1,0,0,0,1,1,0,0,0
417,2016,16990,35991.0,2.1,0,0,0,1,1,0,0,0
418,2016,17990,30795.0,2.1,0,0,0,1,1,0,0,0
419,2014,14990,56958.0,2.1,0,0,0,1,1,0,0,0
420,2016,15990,26957.0,1.6,0,0,0,1,1,0,0,0
